标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"神雕侠侣 / 神雕俠侶","5","2018/12/19","","1995/07/31","中国香港","https://movie.douban.com/subject/1863947/"
"笑傲江湖","4","2018/12/19","","","","https://movie.douban.com/subject/26311982/"
"影","3","2018/12/05","","2018/09/06","威尼斯电影节","https://movie.douban.com/subject/4864908/"
"纵横四海 / 緃横四海","4","2018/12/05","","1991/02/02","中国香港","https://movie.douban.com/subject/1295409/"
"追风筝的人 / The Kite Runner","4","2018/12/05","","","","https://movie.douban.com/subject/1937502/"
"仙剑奇侠传","4","2018/12/05","","2005/01/24","中国大陆","https://movie.douban.com/subject/2210031/"
"仙剑奇侠传三","4","2018/12/05","","2009/06/28","中国大陆","https://movie.douban.com/subject/3227335/"
"无问西东","","2018/12/03","","2018/01/12","中国大陆","https://movie.douban.com/subject/6874741/"
"笑傲江湖","3","2018/12/02","","2001/03/26","中国大陆","https://movie.douban.com/subject/2155290/"
"无敌破坏王2：大闹互联网 / Ralph Breaks the Internet","4","2018/11/27","","2018/11/21","美国","https://movie.douban.com/subject/20438964/"
"无敌破坏王 / Wreck-It Ralph","4","2018/11/24","在无敌破坏王第二部上映之际又重新看了这部片子。很早之前看过了一部分觉得无聊就搁置了，可能是观影状态不好，电影很棒，真的佩服迪士尼能把任何天马星空的想象拍成电影。 2018.11.24腾讯视频","2012/11/02","美国","https://movie.douban.com/subject/6534248/"
"包青天","","2018/11/22","","1993/02/23","中国台湾","https://movie.douban.com/subject/2156704/"
"葫芦兄弟","4","2018/11/22","","","","https://movie.douban.com/subject/1428576/"
"那山那人那狗","4","2018/11/21","看了这部片总能想起小时候的道路还不是水泥路，也不会骑自行车，总是沿着弯曲的道路，穿过一个又一个村庄去外婆家。","","","https://movie.douban.com/subject/1307766/"
"神奇动物：格林德沃之罪 / Fantastic Beasts: The Crimes of Grind...","4","2018/11/17","格林德沃第一代黑魔法师，邓布利多的恋人。在哈利波特中只留着他的传说，今天被搬到荧幕上，真的很赞。当熟悉的音乐响起，霍格沃兹学校出现在眼前，哈利波特里的一幕幕也浮现在眼前。","2018/11/16","中国大陆","https://movie.douban.com/subject/26147417/"
"我不是药神","4","2018/11/16","看到街两旁站满了病人，眼泪止不住流。用5年的时光和自己的财产换取无关人的性命，在现在这个社会这样的人恐怕少之又少。","2018/06/30","大规模点映","https://movie.douban.com/subject/26752088/"
"旺角卡门 / 旺角卡門","3","2018/11/13","","1988/06/09","中国香港","https://movie.douban.com/subject/1304624/"
"无间道3：终极无间 / 無間道III 終極無間","4","2018/11/11","","2003/12/12","中国大陆","https://movie.douban.com/subject/1307694/"
"无间道2 / 無間道II","4","2018/11/10","吴镇宇很像教父里面的Mike","2003/10/01","中国香港","https://movie.douban.com/subject/1307106/"
"毒液：致命守护者 / Venom","3","2018/11/10","故事结构太单一","2018/10/05","美国","https://movie.douban.com/subject/3168101/"
"盗梦空间 / Inception","4","2018/11/01","","2010/07/16","美国","https://movie.douban.com/subject/3541415/"
"阳光灿烂的日子","4","2018/11/01","","1994/09/09","威尼斯电影节","https://movie.douban.com/subject/1291875/"
"贫民窟的百万富翁 / Slumdog Millionaire","4","2018/11/01","","2008/08/30","特柳赖德电影节","https://movie.douban.com/subject/2209573/"
"电锯惊魂 / Saw","4","2018/11/01","","2004/01/19","圣丹斯电影节","https://movie.douban.com/subject/1417598/"
"心迷宫","3","2018/11/01","","2014/07/21","FIRST青年影展","https://movie.douban.com/subject/25917973/"
"鬼乱5 / ห้าแพร่ง","3","2018/10/20","","","","https://movie.douban.com/subject/4122701/"
"回魂夜","3","2018/10/13","","","","https://movie.douban.com/subject/1299765/"
"火柴人 / Matchstick Men","4","2018/10/07","","2003/09/02","威尼斯电影节","https://movie.douban.com/subject/1307542/"
"小森林 夏秋篇 / リトル・フォレスト 夏・秋","4","2018/10/05","向往的生活","2014/08/30","日本","https://movie.douban.com/subject/25814705/"
"师父","3","2018/10/05","","2015/11/11","台北金马影展","https://movie.douban.com/subject/25919910/"
"小森林 冬春篇 / リトル・フォレスト 冬・春","4","2018/10/05","精致美好的生活","2015/02/14","日本","https://movie.douban.com/subject/25814707/"
"潜伏2 / Insidious: Chapter 2","3","2018/10/04","","2013/09/13","美国","https://movie.douban.com/subject/10485526/"
"鬼影 / ชัตเตอร์ กดติด...","4","2018/10/04","看完脖子疼。","2004/09/09","泰国","https://movie.douban.com/subject/1773217/"
"无双 / 無雙","4","2018/10/03","哈哈，太精彩了。看了一个多小时觉得只值7分的一般警匪片，最后三十分钟结尾不断的反转。","2018/09/30","中国大陆","https://movie.douban.com/subject/26425063/"
"当幸福来敲门 / The Pursuit of Happyness","3","2018/10/01","","2006/12/15","美国","https://movie.douban.com/subject/1849031/"
"飞越疯人院 / One Flew Over the Cuckoo's Nest","3","2018/10/01","","1975/11/19","美国","https://movie.douban.com/subject/1292224/"
"青蛇","3","2018/10/01","","1993/11/04","中国香港","https://movie.douban.com/subject/1303394/"
"暖暖内含光 / Eternal Sunshine of the Spotless Mind","4","2018/09/29","佛罗多怎么变成变态了.","2004/03/19","美国","https://movie.douban.com/subject/1308777/"
"放牛班的春天 / Les choristes","4","2018/09/25","","2004/03/17","法国","https://movie.douban.com/subject/1291549/"
"哆啦A梦：伴我同行 / STAND BY ME ドラえもん","3","2018/09/13","","2014/08/08","日本","https://movie.douban.com/subject/25769362/"
"窃听风云3","3","2018/09/13","","2014/05/29","中国大陆","https://movie.douban.com/subject/10726941/"
"何以笙箫默","3","2018/09/13","","2015/04/30","中国大陆","https://movie.douban.com/subject/26259634/"
"横冲直撞好莱坞","3","2018/09/13","","2015/06/26","中国大陆","https://movie.douban.com/subject/25908042/"
"道士下山","3","2018/09/13","","2015/07/03","中国大陆","https://movie.douban.com/subject/24879839/"
"张震讲故事之鬼迷心窍","2","2018/09/13","","2015/07/03","中国大陆","https://movie.douban.com/subject/26384363/"
"捉妖记","4","2018/09/13","","2015/07/16","中国大陆","https://movie.douban.com/subject/25723907/"
"煎饼侠","3","2018/09/13","","2015/07/17","中国大陆","https://movie.douban.com/subject/25895276/"
"王朝的女人·杨贵妃","2","2018/09/13","","2015/07/30","中国大陆","https://movie.douban.com/subject/5993138/"
"滚蛋吧！肿瘤君","3","2018/09/13","","2015/08/13","中国大陆","https://movie.douban.com/subject/26289144/"
"新娘大作战","2","2018/09/13","","2015/08/20","中国大陆","https://movie.douban.com/subject/25849475/"
"港囧","3","2018/09/13","","2015/09/25","中国大陆","https://movie.douban.com/subject/25710912/"
"我是证人","3","2018/09/13","","2015/10/30","中国大陆","https://movie.douban.com/subject/26313973/"
"失孤","4","2018/09/13","","2015/03/20","中国大陆","https://movie.douban.com/subject/25835293/"
"杀破狼2 / 殺破狼2","4","2018/09/13","","2015/06/18","中国大陆","https://movie.douban.com/subject/23788440/"
"寒战2 / 寒戰II","3","2018/09/13","","2016/07/08","中国大陆","https://movie.douban.com/subject/20505982/"
"功夫熊猫3 / Kung Fu Panda 3","3","2018/09/13","","2016/01/29","美国","https://movie.douban.com/subject/11589036/"
"北京遇上西雅图之不二情书","3","2018/09/13","","2016/04/29","中国大陆","https://movie.douban.com/subject/26322792/"
"爱丽丝梦游仙境2：镜中奇遇记 / Alice Through the Looking Glass","3","2018/09/13","","2016/05/10","伦敦首映","https://movie.douban.com/subject/21441132/"
"暴疯语","3","2018/09/13","","2014/11/19","台北金马影展","https://movie.douban.com/subject/25742299/"
"西游记之大圣归来","5","2018/09/13","","2015/07/10","中国大陆","https://movie.douban.com/subject/26277313/"
"微爱之渐入佳境","2","2018/09/13","","2014/12/24","中国大陆","https://movie.douban.com/subject/24751757/"
"复仇者联盟2：奥创纪元 / Avengers: Age of Ultron","3","2018/09/13","","2015/05/01","美国","https://movie.douban.com/subject/10741834/"
"阿甘正传 / Forrest Gump","5","2018/09/11","","1994/06/23","洛杉矶首映","https://movie.douban.com/subject/1292720/"
"泰坦尼克号 / Titanic","5","2018/09/11","","1997/11/01","东京电影节","https://movie.douban.com/subject/1292722/"
"云中行走 / The Walk","3","2018/09/10","","2015/10/09","美国","https://movie.douban.com/subject/25819229/"
"辩护人 / 변호인","4","2018/09/09","","2013/12/18","韩国","https://movie.douban.com/subject/21937445/"
"教父 / The Godfather","5","2018/09/09","","1972/03/15","纽约首映","https://movie.douban.com/subject/1291841/"
"闻香识女人 / Scent of a Woman","4","2018/09/09","","1992/12/23","美国","https://movie.douban.com/subject/1298624/"
"死亡诗社 / Dead Poets Society","4","2018/09/09","","1989/06/02","多伦多首映","https://movie.douban.com/subject/1291548/"
"勇敢的心 / Braveheart","5","2018/09/09","","1995/05/18","西雅图电影节","https://movie.douban.com/subject/1294639/"
"大闹天宫","5","2018/09/09","","","","https://movie.douban.com/subject/1418019/"
"禁闭岛 / Shutter Island","4","2018/09/09","","2010/02/13","柏林电影节","https://movie.douban.com/subject/2334904/"
"甜蜜蜜","4","2018/09/09","","1996/11/02","中国香港","https://movie.douban.com/subject/1305164/"
"阿凡达 / Avatar","4","2018/09/09","","2009/12/18","美国","https://movie.douban.com/subject/1652587/"
"超脱 / Detachment","4","2018/09/09","","2011/04/25","翠贝卡电影节","https://movie.douban.com/subject/5322596/"
"碟中谍6：全面瓦解 / Mission: Impossible - Fallout","4","2018/09/08","","2018/07/27","美国","https://movie.douban.com/subject/26336252/"
"大鱼海棠","3","2018/09/03","","2016/07/08","中国大陆","https://movie.douban.com/subject/5045678/"
"瑞士军刀男 / Swiss Army Man","3","2018/09/03","","2016/01/22","圣丹斯电影节","https://movie.douban.com/subject/26437237/"
"湄公河行动","4","2018/09/03","","2016/09/30","中国大陆","https://movie.douban.com/subject/25815034/"
"控方证人 / Witness for the Prosecution","4","2018/09/02","","1957/12/17","美国","https://movie.douban.com/subject/1296141/"
"看不见的客人 / Contratiempo","4","2018/09/02","","2016/09/23","奇幻电影节","https://movie.douban.com/subject/26580232/"
"惊魂记 / Psycho","3","2018/08/25","和预期的一样，欣赏不来。","1960/06/16","纽约首映","https://movie.douban.com/subject/1293181/"
"猫鼠游戏 / Catch Me If You Can","4","2018/08/25","太牛了！","2002/12/16","洛杉矶首映","https://movie.douban.com/subject/1305487/"
"让子弹飞","4","2018/08/24","","2010/12/16","中国大陆","https://movie.douban.com/subject/3742360/"
"推拿","3","2018/08/20","看着好压抑","2014/02/10","柏林电影节","https://movie.douban.com/subject/20020577/"
"燃情岁月 / Legends of the Fall","3","2018/08/18","","1994/12/16","美国","https://movie.douban.com/subject/1295865/"
"一出好戏","4","2018/08/12","","2018/08/10","中国大陆","https://movie.douban.com/subject/26985127/"
"西虹市首富","5","2018/08/06","","2018/07/27","中国大陆","https://movie.douban.com/subject/27605698/"
"邪不压正","4","2018/07/14","","2018/07/13","中国大陆","https://movie.douban.com/subject/26366496/"
"大佛普拉斯","4","2018/06/25","普度众生的大佛肚子里竟然藏了一具尸体，真是讽刺。","2017/06/29","台北电影节","https://movie.douban.com/subject/27059130/"
"暴裂无声","4","2018/06/24","男主的战斗力是真的强。一言不合就开打。","2017/07/27","FIRST青年影展","https://movie.douban.com/subject/26647117/"
"胭脂扣","4","2018/06/24","","1987/12/05","中国台湾","https://movie.douban.com/subject/1299288/"
"指环王3：王者无敌 / The Lord of the Rings: The Return of the King","5","2018/06/24","太赞了","2003/12/17","美国","https://movie.douban.com/subject/1291552/"
"异度空间 / 異度空間","3","2018/06/21","","2002/03/28","中国香港","https://movie.douban.com/subject/1303184/"
"大腕","3","2018/06/18","","2001/12/21","中国大陆","https://movie.douban.com/subject/1304022/"
"疯狂的赛车","4","2018/06/05","","2009/01/20","中国大陆","https://movie.douban.com/subject/2124703/"
"超时空同居","4","2018/05/29","挺搞笑的，演她爸的竟然是94年的🤯","2018/05/18","中国大陆","https://movie.douban.com/subject/27133303/"
"血色浪漫","5","2018/05/27","","2004/11/30","中国大陆","https://movie.douban.com/subject/1931974/"
"亮剑","5","2018/05/27","百看不厌啊~","2005/09/12","中国大陆","https://movie.douban.com/subject/2254648/"
"少年派的奇幻漂流 / Life of Pi","3","2018/05/21","","2012/09/28","纽约电影节","https://movie.douban.com/subject/1929463/"
"末代皇帝 / The Last Emperor","4","2018/05/19","","1987/10/04","东京国际电影节","https://movie.douban.com/subject/1293172/"
"疯狂的石头","4","2018/05/19","","2006/06/30","中国大陆","https://movie.douban.com/subject/1862151/"
"国王的演讲 / The King's Speech","4","2018/05/19","","2010/09/06","特柳赖德电影节","https://movie.douban.com/subject/4023638/"
"复仇者联盟3：无限战争 / Avengers: Infinity War","4","2018/05/11","星爵这真是冲动起来智商下线。上面说的真逗，浪一波被团灭哈哈","2018/04/23","加州首映","https://movie.douban.com/subject/24773958/"
"小鞋子 / بچه های آسمان","4","2018/04/29","","1997/02/01","曙光旬国际电影节","https://movie.douban.com/subject/1303021/"
"小萝莉的猴神大叔 / Bajrangi Bhaijaan","4","2018/04/13","","2015/07/17","印度","https://movie.douban.com/subject/26393561/"
"捉妖记2","3","2018/04/08","跟第一部差不多呀，为何评分差距这么大。","2018/02/16","中国大陆","https://movie.douban.com/subject/26575103/"
"香水 / Perfume: The Story of a Murderer","3","2018/04/05","前半部分以为是励志片，后半段是变态杀人狂","2006/09/07","德国","https://movie.douban.com/subject/1760622/"
"毕业生 / The Graduate","3","2018/04/01","","1967/12/22","美国","https://movie.douban.com/subject/1292271/"
"万能钥匙 / The Skeleton Key","4","2018/04/01","","2005/07/29","英国","https://movie.douban.com/subject/1418752/"
"头号玩家 / Ready Player One","4","2018/03/30","","2018/03/11","西南偏南电影节","https://movie.douban.com/subject/4920389/"
"十八洞村","4","2018/03/17","","2017/10/13","中国大陆","https://movie.douban.com/subject/27148198/"
"至暗时刻 / Darkest Hour","4","2018/03/11","","2017/09/01","特柳赖德电影节","https://movie.douban.com/subject/26761416/"
"三块广告牌 / Three Billboards Outside Ebbing, Missouri","4","2018/03/04","","2017/09/04","威尼斯电影节","https://movie.douban.com/subject/26611804/"
